YEAR,MONTH,DAY,HOUR,MINUTE,SECOND,MICROSECOND,body_x,body_y,tail_x,tail_y,head_x,head_y,FRAME_PATH
2020,12,7,1,7,48,187657,0,340,18,218,34,382,000000068_000004533_c.png
2020,12,7,1,7,48,207295,0,296,35,382,17,218,000000069_000004599_c.png
2020,12,7,1,7,48,224893,0,340,17,218,37,382,000000070_000004666_c.png
2020,12,7,1,7,48,241655,0,296,39,380,17,218,000000071_000004733_c.png
2020,12,7,1,7,48,259065,0,296,37,382,39,221,000000072_000004799_c.png
2020,12,7,1,7,48,278368,0,339,18,218,39,380,000000073_000004866_c.png
2020,12,7,1,7,48,295496,0,296,38,381,17,218,000000074_000004933_c.png
2020,12,7,1,7,48,312790,0,338,39,221,39,380,000000075_000004999_c.png
2020,12,7,1,7,48,330124,0,339,38,218,38,381,000000076_000005066_c.png
2020,12,7,1,7,48,347268,0,296,39,380,17,218,000000077_000005133_c.png
2020,12,7,1,7,48,370546,13,356,17,218,6,232,000000078_000005199_c.png
2020,12,7,1,7,48,391981,0,318,18,218,35,382,000000079_000005266_c.png
2020,12,7,1,7,48,409909,0,295,39,380,35,218,000000080_000005333_c.png
2020,12,7,1,7,48,430413,0,340,17,218,38,381,000000081_000005399_c.png
2020,12,7,1,7,48,448185,0,339,39,220,37,382,000000082_000005466_c.png
2020,12,7,1,7,48,464989,0,295,39,380,17,218,000000083_000005533_c.png
2020,12,7,1,7,48,486030,0,339,0,36,21,381,000000084_000005599_c.png
2020,12,7,1,7,48,505520,0,296,35,382,17,218,000000085_000005666_c.png
2020,12,7,1,7,48,524773,0,303,18,218,36,382,000000086_000005733_c.png
2020,12,7,1,7,48,546420,0,294,0,36,35,382,000000087_000005799_c.png
2020,12,7,1,7,48,567355,0,294,0,36,37,382,000000088_000005866_c.png
2020,12,7,1,7,48,584141,0,303,18,218,32,382,000000089_000005933_c.png
2020,12,7,1,7,48,602818,0,319,18,218,39,379,000000090_000005999_c.png
2020,12,7,1,7,48,622260,0,296,35,382,17,218,000000091_000006066_c.png
2020,12,7,1,7,48,644664,0,302,39,380,17,218,000000092_000006133_c.png
2020,12,7,1,7,48,662697,0,297,37,382,17,218,000000093_000006199_c.png
