20,11,18,15,55,4,354647,191,346,235,354,175,377
20,11,18,15,55,4,383913,189,347,174,381,209,335
20,11,18,15,55,4,416009,142,359,112,386,174,348
20,11,18,15,55,4,457234,142,359,112,386,174,348
20,11,18,15,55,4,488317,132,359,153,320,108,386
20,11,18,15,55,4,516746,132,360,154,330,113,383
20,11,18,15,55,4,554021,133,359,155,329,116,379
20,11,18,15,55,4,587569,135,360,156,327,117,376
20,11,18,15,55,4,620238,131,346,166,358,127,310
20,11,18,15,55,4,650386,131,346,166,358,127,310
20,11,18,15,55,4,683478,128,333,156,362,129,303
20,11,18,15,55,4,712961,128,329,148,361,132,295
20,11,18,15,55,4,746960,128,327,143,360,136,290
20,11,18,15,55,4,776277,136,309,165,300,128,317
20,11,18,15,55,4,822424,139,306,131,345,168,297
20,11,18,15,55,4,846743,139,306,131,345,168,297
20,11,18,15,55,4,875484,141,303,173,291,130,308
20,11,18,15,55,4,924303,144,301,181,285,132,309
20,11,18,15,55,4,955587,148,299,185,282,136,307
20,11,18,15,55,4,985093,155,295,190,279,142,305
20,11,18,15,55,5,9571,164,292,196,278,142,306
20,11,18,15,55,5,50057,164,292,196,278,142,306
20,11,18,15,55,5,82286,169,290,201,275,147,302
20,11,18,15,55,5,109549,172,287,144,305,208,273
20,11,18,15,55,5,149466,174,286,215,273,156,295
20,11,18,15,55,5,179382,183,283,215,272,168,289
20,11,18,15,55,5,212448,183,284,214,272,169,289
20,11,18,15,55,5,250025,183,284,214,272,169,289
20,11,18,15,55,5,284129,181,285,209,274,168,290
20,11,18,15,55,5,312516,179,285,204,274,165,292
20,11,18,15,55,5,342238,178,285,149,301,204,273
20,11,18,15,55,5,375143,177,285,148,302,206,271
20,11,18,15,55,5,422498,177,285,149,302,209,272
20,11,18,15,55,5,453902,177,285,149,302,209,272
20,11,18,15,55,5,482986,178,285,213,273,151,302
20,11,18,15,55,5,524463,183,284,220,275,162,296
20,11,18,15,55,5,546145,188,283,226,273,157,298
20,11,18,15,55,5,585302,200,280,234,271,174,288
20,11,18,15,55,5,614309,205,278,243,269,174,287
20,11,18,15,55,5,647438,205,278,243,269,175,288
20,11,18,15,55,5,678638,214,277,249,267,184,281
20,11,18,15,55,5,710938,219,278,181,277,249,263
20,11,18,15,55,5,751820,224,277,181,277,249,258
20,11,18,15,55,5,781501,225,276,187,281,248,251
20,11,18,15,55,5,810552,228,272,190,283,254,245
20,11,18,15,55,5,844316,228,272,189,283,254,245
20,11,18,15,55,5,882324,232,268,192,283,261,237
20,11,18,15,55,5,913102,243,258,214,277,268,233
20,11,18,15,55,5,943124,248,253,211,277,274,228
20,11,18,15,55,5,978164,253,248,221,277,283,228
20,11,18,15,55,6,14099,256,246,223,277,290,226
20,11,18,15,55,6,48988,256,246,223,277,290,226
20,11,18,15,55,6,80613,264,242,234,265,295,224
20,11,18,15,55,6,114660,268,242,233,260,300,225
20,11,18,15,55,6,146003,272,239,240,258,302,225
20,11,18,15,55,6,177777,272,238,236,264,305,221
20,11,18,15,55,6,215863,275,236,236,264,306,218
20,11,18,15,55,6,257118,275,236,236,264,306,218
20,11,18,15,55,6,288395,277,235,244,257,306,218
20,11,18,15,55,6,310870,278,235,243,261,305,217
20,11,18,15,55,6,357831,278,235,236,269,305,218
20,11,18,15,55,6,387690,276,236,244,263,304,218
