YEAR,MONTH,DAY,HOUR,MINUTE,SECOND,MICROSECOND,body_x,body_y,tail_x,tail_y,head_x,head_y
2020,11,20,22,42,28,436640,131,356,148,364,118,354
2020,11,20,22,42,28,467420,131,355,148,365,118,354
2020,11,20,22,42,28,507461,131,355,148,365,118,354
2020,11,20,22,42,28,535441,131,357,149,361,118,354
2020,11,20,22,42,28,569604,130,356,150,360,118,354
2020,11,20,22,42,28,600007,130,357,150,361,118,354
2020,11,20,22,42,28,633021,130,357,153,361,118,354
2020,11,20,22,42,28,679303,130,357,151,362,118,354
2020,11,20,22,42,28,709525,130,357,151,362,118,354
2020,11,20,22,42,28,740324,131,356,151,362,118,354
2020,11,20,22,42,28,770929,131,356,152,361,118,354
2020,11,20,22,42,28,811280,130,356,152,361,118,354
2020,11,20,22,42,28,842027,131,356,153,360,118,354
2020,11,20,22,42,28,866287,130,356,153,360,118,355
2020,11,20,22,42,28,894669,130,356,153,360,118,354
2020,11,20,22,42,28,935300,131,356,152,360,118,355
2020,11,20,22,42,28,968699,131,356,153,360,118,355
2020,11,20,22,42,29,256,131,356,153,361,118,355
2020,11,20,22,42,29,46098,131,356,153,361,118,355
2020,11,20,22,42,29,68425,131,356,153,360,118,355
2020,11,20,22,42,29,98783,131,356,153,360,118,355
2020,11,20,22,42,29,129535,131,356,153,360,118,355
2020,11,20,22,42,29,170032,131,356,153,358,118,355
2020,11,20,22,42,29,203468,131,356,152,359,118,355
2020,11,20,22,42,29,235830,131,357,152,361,118,355
2020,11,20,22,42,29,272931,131,358,152,360,118,355
2020,11,20,22,42,29,312503,131,358,152,360,118,355
2020,11,20,22,42,29,342902,130,357,150,360,118,355
2020,11,20,22,42,29,373154,131,356,151,359,118,355
2020,11,20,22,42,29,403195,131,356,151,359,118,355
2020,11,20,22,42,29,444058,131,356,151,359,118,355
2020,11,20,22,42,29,474758,131,356,151,357,118,360
2020,11,20,22,42,29,505312,131,356,150,359,118,355
2020,11,20,22,42,29,547874,131,357,151,355,118,360
2020,11,20,22,42,29,577527,131,357,150,354,118,361
2020,11,20,22,42,29,607399,130,358,149,357,117,356
2020,11,20,22,42,29,638308,130,358,148,354,117,361
2020,11,20,22,42,29,678553,130,358,149,354,117,361
2020,11,20,22,42,29,709563,130,358,149,354,117,361
2020,11,20,22,42,29,739780,130,358,150,356,117,361
2020,11,20,22,42,29,771027,130,357,152,357,117,356
2020,11,20,22,42,29,810301,130,357,150,355,117,357
2020,11,20,22,42,29,841788,129,357,152,359,117,356
2020,11,20,22,42,29,871945,129,357,152,355,117,357
2020,11,20,22,42,29,912011,130,357,152,355,117,357
2020,11,20,22,42,29,943133,129,358,150,352,118,362
2020,11,20,22,42,29,973456,129,358,145,348,118,363
2020,11,20,22,42,30,4292,129,358,139,344,118,365
2020,11,20,22,42,30,44570,134,358,121,366,140,345
2020,11,20,22,42,30,76011,134,360,139,345,127,371
2020,11,20,22,42,30,106088,134,360,139,345,127,371
2020,11,20,22,42,30,137373,133,360,140,346,127,371
2020,11,20,22,42,30,177913,133,361,140,346,127,371
2020,11,20,22,42,30,203468,134,360,139,345,127,371
2020,11,20,22,42,30,230619,132,360,139,345,126,370
2020,11,20,22,42,30,280000,133,359,138,344,124,369
2020,11,20,22,42,30,309131,133,358,138,344,126,370
2020,11,20,22,42,30,338219,133,360,138,345,126,370
2020,11,20,22,42,30,362347,133,360,138,345,128,371
2020,11,20,22,42,30,403448,132,360,138,345,119,366
2020,11,20,22,42,30,440997,133,360,139,345,128,371
2020,11,20,22,42,30,472194,133,360,138,345,131,372
2020,11,20,22,42,30,512710,134,361,138,345,131,372
2020,11,20,22,42,30,543203,135,362,140,346,134,373
2020,11,20,22,42,30,565975,134,362,140,346,121,371
2020,11,20,22,42,30,600585,134,362,140,346,125,371
2020,11,20,22,42,30,635939,134,361,140,345,132,372
2020,11,20,22,42,30,667512,133,360,140,346,134,372
2020,11,20,22,42,30,697407,133,360,140,345,133,372
2020,11,20,22,42,30,736546,134,361,140,346,119,365
2020,11,20,22,42,30,777406,134,361,117,370,140,346
2020,11,20,22,42,30,807108,133,360,140,345,118,366
